signal_date,exec_date,gate_on,qqq_mom_12_1_pct,pit_members_available,rs_pass_count,top_n,pick
2015-01-31,2015-02-02,True,21.5162,107,74,3,"EA,AAL,MAR"
2015-02-28,2015-03-02,True,13.1555,107,74,3,"EA,AAPL,MNST"
2015-03-31,2015-04-01,True,24.7357,107,73,3,"MNST,EA,AAPL"
2015-04-30,2015-05-01,True,22.1835,107,73,3,"EA,MNST,VRTX"
2015-05-31,2015-06-01,True,19.186,107,73,3,"MNST,VRTX,EA"
2015-06-30,2015-07-01,True,18.1743,107,73,3,"REGN,MNST,EA"
2015-07-31,2015-08-03,True,13.8926,108,75,3,"BMRN,MNST,EA"
2015-08-31,2015-09-01,True,13.4026,109,76,3,"BMRN,EA,MNST"
2015-09-30,2015-10-01,True,6.4691,109,76,3,"EA,BMRN,NFLX"
2015-10-31,2015-11-02,True,1.439,109,77,3,"NFLX,AMZN,EA"
2015-11-30,2015-12-01,True,8.0597,109,77,3,"NFLX,AMZN,TCOM"
2015-12-31,2016-01-04,True,11.2094,105,76,3,"NFLX,TCOM,AMZN"
2016-01-31,2016-02-01,True,11.7632,105,76,3,"TCOM,AMZN,NFLX"
2016-02-29,2016-03-01,False,-2.9665,106,0,0,
2016-03-31,2016-04-01,False,-2.1778,106,0,0,
2016-04-30,2016-05-02,True,2.5542,108,78,3,"NVDA,META,AMZN"
2016-05-31,2016-06-01,False,-2.8974,108,0,0,
2016-06-30,2016-07-01,True,3.9277,105,79,3,"NVDA,AMZN,ULTA"
2016-07-31,2016-08-01,False,-2.8669,105,0,0,
2016-08-31,2016-09-01,True,11.702,105,82,4,"NVDA,NTES,AMAT"
2016-09-30,2016-10-03,True,15.4227,105,82,4,"NVDA,AMAT,NTES"
2016-10-31,2016-11-01,True,5.9331,105,82,4,"NVDA,AMAT,NTES"
2016-11-30,2016-12-01,True,3.7577,105,82,4,"NVDA,AMAT,NTES"
2016-12-31,2017-01-03,True,5.8989,105,84,4,"NVDA,AMAT,CHTR"
2017-01-31,2017-02-01,True,15.0482,105,84,4,"NVDA,MU,AMAT"
2017-02-28,2017-03-01,True,22.8854,105,84,4,"NVDA,MU,CSX"
2017-03-31,2017-04-03,True,20.036,105,84,4,"NVDA,MU,NTES"
2017-04-30,2017-05-01,True,26.5004,105,84,4,"NVDA,MU,STX"
2017-05-31,2017-06-01,True,24.5089,105,84,4,"NVDA,MU,WDC"
2017-06-30,2017-07-03,True,32.3771,105,85,4,"NVDA,MU,CSX"
2017-07-31,2017-08-01,True,20.6792,105,85,4,"NVDA,MU,CSX"
2017-08-31,2017-09-01,True,24.2753,105,85,4,"NVDA,WDC,NFLX"
2017-09-30,2017-10-02,True,24.1052,105,85,4,"NVDA,VRTX,MU"
2017-10-31,2017-11-01,True,25.5685,105,85,4,"NVDA,MU,ALGN"
2017-11-30,2017-12-01,True,30.7826,105,85,4,"ALGN,MU,NVDA"
2017-12-31,2018-01-02,True,31.8682,104,87,4,"ALGN,TTWO,VRTX"
2018-01-31,2018-02-01,True,26.1778,104,87,4,"ALGN,TTWO,PYPL"
2018-02-28,2018-03-01,True,31.4753,104,87,4,"ALGN,NVDA,TTWO"
2018-03-31,2018-04-02,True,27.1974,104,87,4,"ALGN,NVDA,NFLX"
2018-04-30,2018-05-01,True,18.7704,104,87,4,"NVDA,NFLX,MU"
2018-05-31,2018-06-01,True,14.8933,104,87,4,"NFLX,ALGN,AMZN"
2018-06-30,2018-07-02,True,24.2922,104,87,4,"NFLX,ALGN,MU"
2018-07-31,2018-08-01,True,20.809,104,88,4,"NFLX,ALGN,MU"
2018-08-31,2018-09-04,True,21.6645,104,88,4,"ALGN,NFLX,AMZN"
2018-09-30,2018-10-01,True,29.0786,104,88,4,"AMZN,ALGN,NFLX"
2018-10-31,2018-11-01,True,23.047,104,88,4,"NFLX,AMZN,ILMN"
2018-11-30,2018-12-03,True,10.2955,104,89,4,"NFLX,ESRX,AMZN"
2018-12-31,2019-01-02,True,9.3438,103,90,4,"AMD,LULU,WDAY"
2019-01-31,2019-02-01,False,-8.168,103,0,0,
2019-02-28,2019-03-01,True,1.4179,103,90,4,"AMD,LULU,VRSN"
2019-03-31,2019-04-01,True,8.8931,103,90,4,"AMD,LULU,WDAY"
2019-04-30,2019-05-01,True,12.5971,103,90,4,"AMD,LULU,CDNS"
2019-05-31,2019-06-03,True,12.4121,103,90,4,"AMD,LULU,MELI"
2019-06-30,2019-07-01,True,1.998,103,90,4,"MELI,AMD,WDAY"
2019-07-31,2019-08-01,True,6.7545,103,90,4,"MELI,WDAY,AMD"
2019-08-31,2019-09-03,True,3.2769,103,90,4,"MELI,SBUX,CDNS"
2019-09-30,2019-10-01,True,1.6012,103,90,4,"MELI,SBUX,CDNS"
2019-10-31,2019-11-01,True,12.1762,103,90,4,"KLAC,MELI,LRCX"
2019-11-30,2019-12-02,True,17.4007,103,91,4,"LRCX,KLAC,AMD"
2019-12-31,2020-01-02,True,33.763,103,90,4,"AMD,LRCX,MELI"
2020-01-31,2020-02-03,True,27.4751,103,90,4,"AMD,QCOM,CPRT"
2020-02-29,2020-03-02,True,27.5335,103,90,4,"TSLA,AMD,AAPL"
2020-03-31,2020-04-01,True,15.2838,103,92,4,"TSLA,AMD,LRCX"
2020-04-30,2020-05-01,True,1.313,103,92,4,"DXCM,TSLA,ZM"
2020-05-31,2020-06-01,True,26.923,103,92,4,"TSLA,DXCM,NVDA"
2020-06-30,2020-07-01,True,25.7561,103,92,4,"TSLA,DOCU,DXCM"
2020-07-31,2020-08-03,True,30.6125,103,92,4,"MRNA,TSLA,DOCU"
2020-08-31,2020-09-01,True,42.9228,103,92,4,"TSLA,MRNA,DOCU"
2020-09-30,2020-10-01,True,57.1231,103,92,4,"TSLA,ZM,MRNA"
2020-10-31,2020-11-02,True,41.8312,103,92,4,"TSLA,ZM,MRNA"
2020-11-30,2020-12-01,True,32.1355,103,92,4,"ZM,TSLA,MRNA"
2020-12-31,2021-01-04,True,41.4706,102,92,4,"MRNA,ZM,TSLA"
2021-01-31,2021-02-01,True,44.0299,102,92,4,"TSLA,MRNA,PDD"
2021-02-28,2021-03-01,True,53.7177,102,92,4,"MRNA,TSLA,PTON"
2021-03-31,2021-04-01,True,65.576,102,92,4,"TSLA,MRNA,PDD"
2021-04-30,2021-05-03,True,46.4844,102,92,4,"TSLA,PTON,MRNA"
2021-05-31,2021-06-01,True,45.5347,102,92,4,"TSLA,MRNA,ALGN"
2021-06-30,2021-07-01,True,35.2818,102,92,4,"TSLA,MRNA,AMAT"
2021-07-31,2021-08-02,True,33.9152,102,93,4,"MRNA,TSLA,AMAT"
2021-08-31,2021-09-01,True,24.1577,102,94,4,"MRNA,ALGN,AMAT"
2021-09-30,2021-10-01,True,37.3314,102,94,4,"MRNA,AMAT,ASML"
2021-10-31,2021-11-01,True,33.5945,102,94,4,"MRNA,AMAT,ASML"
2021-11-30,2021-12-01,True,29.5566,102,94,4,"MRNA,TEAM,TSLA"
2021-12-31,2022-01-03,True,25.9682,101,94,4,"LCID,MRNA,NVDA"
2022-01-31,2022-02-01,True,27.0876,101,94,4,"FTNT,NVDA,ODFL"
2022-02-28,2022-03-01,True,16.1262,102,95,4,"NVDA,FTNT,EXC"
2022-03-31,2022-04-01,True,9.0562,102,95,4,"DDOG,FTNT,PANW"
2022-04-30,2022-05-02,True,7.7774,102,95,4,"NVDA,DDOG,PANW"
2022-05-31,2022-06-01,False,-5.7435,102,0,0,
2022-06-30,2022-07-01,False,-12.7055,102,0,0,
2022-07-31,2022-08-01,False,-22.6932,102,0,0,
2022-08-31,2022-09-01,False,-16.512,102,0,0,
2022-09-30,2022-10-03,False,-16.0243,102,0,0,
2022-10-31,2022-11-01,False,-30.349,102,0,0,
2022-11-30,2022-12-01,False,-28.9812,102,0,0,
2022-12-31,2023-01-03,False,-25.8977,101,0,0,
2023-01-31,2023-02-01,False,-26.1142,101,0,0,
2023-02-28,2023-03-01,False,-14.4201,101,0,0,
2023-03-31,2023-04-03,False,-18.5309,101,0,0,
2023-04-30,2023-05-01,True,3.2389,101,96,4,"NFLX,PDD,NVDA"
2023-05-31,2023-06-01,True,5.4361,101,96,4,"NFLX,DXCM,MELI"
2023-06-30,2023-07-03,True,24.8719,101,96,4,"NVDA,NFLX,MELI"
2023-07-31,2023-08-01,True,17.9401,101,97,4,"NVDA,NFLX,META"
2023-08-31,2023-09-01,True,29.1193,101,97,4,"NVDA,NFLX,META"
2023-09-30,2023-10-02,True,42.1844,101,97,4,"NVDA,META,AVGO"
2023-10-31,2023-11-01,True,29.771,101,97,4,"NVDA,META,AVGO"
2023-11-30,2023-12-01,True,20.4146,101,97,4,"META,NVDA,AVGO"
2023-12-31,2024-01-02,True,46.6617,101,98,4,"NVDA,META,CRWD"
2024-01-31,2024-02-01,True,39.9598,101,98,4,"NVDA,CRWD,META"
2024-02-29,2024-03-01,True,43.0205,101,98,4,"NVDA,CRWD,META"
2024-03-31,2024-04-01,True,37.5222,101,99,4,"NVDA,CRWD,META"
2024-04-30,2024-05-01,True,38.5717,101,99,4,"NVDA,CRWD,CEG"
2024-05-31,2024-06-03,True,22.8274,101,99,4,"NVDA,CEG,DASH"
2024-06-30,2024-07-01,True,22.6518,101,98,4,"NVDA,CEG,PDD"
2024-07-31,2024-08-01,True,25.7341,101,99,4,"NVDA,SMCI,CRWD"
2024-08-31,2024-09-03,True,25.485,101,99,4,"SMCI,NVDA,CEG"
2024-09-30,2024-10-01,True,33.66,101,100,5,"NVDA,ARM,AVGO"
2024-10-31,2024-11-01,True,40.0568,101,100,5,"NVDA,ARM,CEG"
2024-11-30,2024-12-02,True,25.2909,101,100,5,"APP,NVDA,ARM"
2024-12-31,2025-01-02,True,25.0107,101,100,5,"APP,MSTR,PLTR"
2025-01-31,2025-02-03,True,23.3346,101,100,5,"APP,MSTR,PLTR"
2025-02-28,2025-03-03,True,19.6797,101,100,5,"APP,PLTR,MSTR"
2025-03-31,2025-04-01,True,14.9782,101,100,5,"APP,PLTR,AXON"
2025-04-30,2025-05-01,True,11.1157,101,100,5,"PLTR,APP,MSTR"
2025-05-31,2025-06-02,True,6.1384,101,100,5,"PLTR,APP,MSTR"
2025-06-30,2025-07-01,True,8.8381,101,100,5,"PLTR,APP,MSTR"
2025-07-31,2025-08-01,True,17.7645,101,101,5,"PLTR,APP,AXON"
2025-08-31,2025-09-02,True,19.3019,101,101,5,"PLTR,APP,MSTR"
2025-09-30,2025-10-01,True,17.3632,101,101,5,"PLTR,APP,MSTR"
2025-10-31,2025-11-03,True,24.7515,102,101,5,"PLTR,APP,WBD"
2025-11-30,2025-12-01,True,24.076,101,101,5,"PLTR,AVGO,MU"
2025-12-31,2026-01-02,True,21.5871,101,101,5,"WDC,STX,INSM"
2026-01-31,2026-02-02,True,18.2151,101,101,5,"WDC,MU,STX"
2026-02-28,2026-03-02,True,22.995,101,101,5,"WDC,MU,STX"
